tweet_id,date,text,retweet_count,favourite_count,followers_count,crypto_name,processed_text,polarity,sentiment
1.4285773889134797e+18,2021-08-20 04:39:25,The second #COVID19 lockdown is how  #BTC gets to 100k......,1,0.0,155.0,BTC,second covid19 lockdown btc get 100k,0.0,Neutral
1.4285772683313848e+18,2021-08-20 04:38:57,this is a really weird “dead cat bounce” #BTC #ADA #ETH,0,0.0,232.0,BTC,realli weird dead cat bounc btc ada eth,-0.35,Negative
1.428577243597443e+18,2021-08-20 04:38:51,"@Crypto_Avenger1 @BrianSumner1987 @NanoDogeCoin Thank you Nano Vengers! #NanoDogeCoin #NanoRevolution $NDC $iNDC $DOGE #DefyDeFi 
@NanoDogeCoin #BNB #BTC #ADA #BSCGems #HiddenGems #BSCArmy @elonmusk @anndylian @cz_binance",0,0.0,9.0,BTC,crypto_avenger1 briansumner1987 nanodogecoin thank nano venger nanodogecoin nanorevolut ndc indc doge defydefi nanodogecoin bnb btc ada bscgem hiddengem bscarmi elonmusk anndylian cz_binanc,0.0,Neutral
1.4285772257046774e+18,2021-08-20 04:38:46,Goodnight everyone! Happy to see the #Crypto market looking good. Keep investing #BTC $SHIB $SAITA $DOGE $XLM $SLP $VET $RSR 🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀,0,0.0,125.0,BTC,goodnight everyon happi see crypto market look good keep invest btc shib saita doge xlm slp vet rsr,0.7,Positive
1.428577198055727e+18,2021-08-20 04:38:40,"@Lonely_Boyyy22 @vancattoken Always buy the dip
🚀🚀🚀🚀🚀 

#useVanswap #VANCAT #BINANCE #BSC #BNB #BCSgems #NFTs #NFT #VancatArmy #Cryptocurency #BTC #PancakeSwap #hotbit #bitmart https://t.co/vYF9MdaKC0",0,1.0,27.0,BTC,lonely_boyyy22 vancattoken alway buy dip usevanswap vancat binanc bsc bnb bcsgem nfts nft vancatarmi cryptocur btc pancakeswap hotbit bitmart http co vyf9mdakc0,0.0,Neutral
1.428577048881025e+18,2021-08-20 04:38:04,"#BTC Update 

Bitcoin is following my bullish scenario to a T ! 45.8k resistance flipped into support

🍑

#bitcoin
#Cryptocurency 
#altcoin 
#ALTSEASON https://t.co/DllgUv9NGa",0,0.0,867.0,BTC,btc updat bitcoin follow bullish scenario 45 8k resist flip support bitcoin cryptocur altcoin altseason http co dllguv9nga,0.0,Neutral
1.4285769390869094e+18,2021-08-20 04:37:38,"ADA price aims for a new ATH, but history says Cardano may pull back first 

#Cardano #cardanofeed #ADA #crypto #cardanocommunity #bitcoin #altcoin #blockchain #cryptocurrency #cryptonews #btc $ADA
https://t.co/GfjTU8J10g",0,4.0,6584.0,BTC,ada price aim new ath histori say cardano may pull back first cardano cardanofe ada crypto cardanocommun bitcoin altcoin blockchain cryptocurr cryptonew btc ada http co gfjtu8j10g,0.12878787878787878,Positive
1.4285768540473426e+18,2021-08-20 04:37:18,The current price of #BTC is $47049.26 in USD,0,0.0,331.0,BTC,current price btc 47049 26 usd,0.0,Neutral
1.4285767492274995e+18,2021-08-20 04:36:53,#BTC I want to see you at 50k. Right Now. Mujhy nai pta jaisay mrzi jaa  😂,0,1.0,655.0,BTC,btc want see 50k right mujhi nai pta jaisay mrzi jaa,0.2857142857142857,Positive
1.4285767196743475e+18,2021-08-20 04:36:46,"Buy Crypto With Your Credit Card / Fast Crypto Exchange 

https://t.co/GwaCvQyQbc 

#Bitcoin #BTC #ETH #XRP #Crypto 00:36 https://t.co/kzKyvvi4fx",0,1.0,10273.0,BTC,buy crypto credit card fast crypto exchang http co gwacvqyqbc bitcoin btc eth xrp crypto 00 36 http co kzkyvvi4fx,0.2,Positive
1.4285767017268756e+18,2021-08-20 04:36:42,@ashwsbreal We're going to see #BTC $100K very soon💪 #Asharmy ❤✊,0,0.0,7.0,BTC,ashwsbreal go see btc 100k soon asharmi,0.0,Neutral
1.4285766961023836e+18,2021-08-20 04:36:40,"#BTC Derivs Sheet (Tweet every 15 min.)
CME Delayed (10 min)
GS Delayed (15 min) and OI = SHARES OUT https://t.co/c0zvQxoeSR",0,0.0,30876.0,BTC,btc deriv sheet tweet everi 15 min cme delay 10 min g delay 15 min oi share http co c0zvqxoesr,0.0,Neutral
1.4285765688766177e+18,2021-08-20 04:36:10,The recommendation date for the next parachain auctions #DOT #Kusama #DeFi #Parallel #Finance #Crypto #cryptocurrency #Bitcoin #SatoshiNakamoto #satoshi #Lending #borrowmoney #borrowing #staking #Liquidity #interesting #interest #BTC #Offers #cheap #learning #Ambassador #money https://t.co/DG2knkFbNu,0,0.0,13172.0,BTC,recommend date next parachain auction dot kusama defi parallel financ crypto cryptocurr bitcoin satoshinakamoto satoshi lend borrowmoney borrow stake liquid interest interest btc offer cheap learn ambassador money http co dg2knkfbnu,0.13333333333333333,Positive
1.4285764847641354e+18,2021-08-20 04:35:50,"Morning Gorgonites! ☕😏☀️

It's time to hit the charts and news feeds! 📊

#BTC and #ETH are looking bullish right now!

I'll be bringing you the daily #BSCGems soon so keep those suggestions coming below 👇😏🔥

#BSCNews #CryptoNews #Solana #DeFi #HarmonyONE #Fantom #NFTgaming https://t.co/7u1ddF35FQ",1,3.0,29912.0,BTC,morn gorgonit time hit chart news feed btc eth look bullish right bring daili bscgem soon keep suggest come bscnew cryptonew solana defi harmonyon fantom nftgame http co 7u1ddf35fq,0.2857142857142857,Positive
1.4285763370699407e+18,2021-08-20 04:35:15,"In the last month, #BTC has gone up 52% from $29K to $47K. Put that into perspective.",0,0.0,48.0,BTC,last month btc gone 52 29k 47k put perspect,0.0,Neutral
