tweet_id,text,retweet_count,favourite_count,followers_count,manual_sentiment,processed_text,polarity,sentiment
1427758785154670592,Cryptocurrencies are tickling Trains in the forest #ETH #BTC #cryptotrading #crypto #elonmusk #Doge #XRP #USDT #DOT #USDC #ICP #cryptocrash,0,0,27,,cryptocurr tickl train forest eth btc cryptotrad crypto elonmusk doge xrp usdt dot usdc icp cryptocrash,0.0,Neutral
1427758724106670083,"@CornDeFi Great project 
#del
@del
@CornDeFi #YieldFarming #Airdrop #Giveaway #PancakeSwap #BTC #Binance #BNB #BSC",0,0,16,,corndefi great project del del corndefi yieldfarm airdrop giveaway pancakeswap btc binanc bnb bsc,0.8,Positive
1427758705966211074,"@culkin22 #Bitcoin                    

I feel like bulls are still in control here. I'm holding swing and scalp longs targeting 60k+.

Following @YowSoNizze tweets, prediction and tips, I’ve learnt a lot and I don’t mind investing 90% of my income in #btc                   

Follow Her",0,0,43,,culkin22 bitcoin feel like bull still control hold swing scalp long target 60k follow yowsonizz tweet predict tip learnt lot mind invest 90 incom btc follow,-0.05,Negative
1427758703646760970,"@husainhaqqani Doubt that #Taliban would need those USDs when there is #BTC, #ETH, and loads of other #Cryptocurency. 

Sir, shift the focus to #China &amp; #Russia like the rest of #USA",0,0,8,,husainhaqqani doubt taliban would need usd btc eth load cryptocur sir shift focus china amp russia like rest usa,0.0,Neutral
1427758496087425028,"I will https://t.co/9Jgbzdxfhb

#altcoin #binance #BTC #cryptocurrency #DeFi #BabyDogecoin #dogearmy #dogecoin #Ethereum #EthereumMax  #EverRise #kishu #KishuArmy #safemoon #NFT #NFTCommunity #opensea #rarible #hicetnunc #MillionToken #EtherRock #cryptopunks https://t.co/zBLxptENNK https://t.co/nBzQjoUhhl",1,2,233,,http co 9jgbzdxfhb altcoin binanc btc cryptocurr defi babydogecoin dogearmi dogecoin ethereum ethereummax everris kishu kishuarmi safemoon nft nftcommun opensea raribl hicetnunc milliontoken etherrock cryptopunk http co zblxptennk http co nbzqjouhhl,0.0,Neutral
1427758474587422727,Support and go #BTC https://t.co/Baj1dhKzSH,0,0,175,,support go btc http co baj1dhkzsh,0.0,Neutral
1427758380802789376,"She will hold. 

#Bitcoin #BTC $BTC",0,0,98,,hold bitcoin btc btc,0.0,Neutral
1427758233654026243,no trade: #BTC price is 32493 at time 08/17/21 - 23:24:23,0,0,1520,,trade btc price 32493 time 08 17 21 23 24 23,0.0,Neutral
1427758222987911168,"Creamcoin Marketing – monthly services, CRM accepted
https://t.co/sCZjQOgs2q

#creamcoin #bitcoin #banner #marketing #pay #crm #exchange #btc #cryptocurrency",1,0,9174,,creamcoin market month servic crm accept http co sczjqogs2q creamcoin bitcoin banner market pay crm exchang btc cryptocurr,0.0,Neutral
1427758183980929033,"🔴 321.4,178 #BTC ($14,376,678) transferred from Unknown Wallet to Unknown Wallet  

 TX: https://t.co/JjEdCynqX6 

 #Blockchain #BTC",0,0,159,,321 4 178 btc 14 376 678 transfer unknown wallet unknown wallet tx http co jjedcynqx6 blockchain btc,-0.1,Negative
